word,meaning_cn,unit,example
daughter,女儿,Unit 2,"She has a daughter and a son."
son,儿子,Unit 2,"His son is a student."
doctor,医生,Unit 3,"My father is a doctor."
worker,工人,Unit 3,"He works as a worker in a factory."
manager,经理,Unit 3,"The manager of the company is very young."
nurse,护士,Unit 3,"She is a nurse in a hospital."
policeman,警察（男）,Unit 3,"The policeman helped me find my way."
policewoman,警察（女）,Unit 3,"The policewoman caught the thief."
driver,司机；驾驶员,Unit 3,"My uncle is a taxi driver."
farmer,农民,Unit 3,"The farmer grows vegetables."
cook,厨师；烹饪,Unit 3,"My mother is a good cook."
office,办公室,Unit 3,"The teacher is in the office."
hospital,医院,Unit 3,"I went to the hospital yesterday."
hotel,宾馆；酒店,Unit 3,"We stayed in a big hotel."
school,学校,Unit 3,"I go to school by bike."
classroom,教室,Unit 3,"Our classroom is big and bright."
library,图书馆,Unit 3,"You can borrow books from the library."
book,书,Unit 4,"I have many story books."
pen,钢笔,Unit 4,"Can I borrow your pen?"
pencil,铅笔,Unit 4,"I need a pencil to draw."
bag,包；书包,Unit 4,"My bag is blue."
chair,椅子,Unit 4,"Please sit on the chair."
desk,书桌；桌子,Unit 4,"There is a computer on the desk."
map,地图,Unit 4,"Look at the map of China."
picture,图片；照片,Unit 4,"This is a picture of my family."
computer,电脑；计算机,Unit 4,"I use a computer to study."
mouse,鼠标,Unit 4,"The mouse is next to the keyboard."
keyboard,键盘,Unit 4,"Please type on the keyboard."
screen,屏幕,Unit 4,"The screen is very big."
apple,苹果,Unit 4,"This is an apple."
banana,香蕉,Unit 4,"I like bananas very much."
orange,橙子；橘子,Unit 4,"An orange a day keeps the doctor away."
pear,梨,Unit 4,"This pear is sweet."
watermelon,西瓜,Unit 4,"Watermelon is my favorite fruit."
milk,牛奶,Unit 4,"I drink milk every morning."
bread,面包,Unit 4,"I have bread for breakfast."
rice,米饭,Unit 4,"We eat rice for lunch."
noodle,面条,Unit 4,"I like eating noodles."
meat,肉,Unit 4,"My father likes eating meat."
chicken,鸡肉；鸡,Unit 4,"I want some chicken for dinner."
fish,鱼；鱼肉,Unit 4,"Fish is good for our health."
vegetable,蔬菜,Unit 4,"We should eat more vegetables."
potato,土豆；马铃薯,Unit 4,"I like potato chips."
tomato,西红柿；番茄,Unit 4,"Tomato is a kind of vegetable."
day,天；日,Unit 5,"Today is a sunny day."
week,星期；周,Unit 5,"There are seven days in a week."
Monday,星期一,Unit 5,"We have math on Monday."
Tuesday,星期二,Unit 5,"I have a piano lesson on Tuesday."
Wednesday,星期三,Unit 5,"Wednesday is my favorite day."
Thursday,星期四,Unit 5,"We have PE on Thursday."
Friday,星期五,Unit 5,"Friday is the last day of the week."
Saturday,星期六,Unit 5,"I play football on Saturday."
Sunday,星期日,Unit 5,"I go to the park on Sunday."
get up,起床,Unit 5,"I get up at 6:30 every morning."
go to school,去上学,Unit 5,"I go to school by bus."
have,有；上（课）,Unit 5,"We have English class in the morning."
lesson,课；一节课,Unit 5,"We have four lessons in the morning."
break,休息；课间休息,Unit 5,"We have a 10-minute break."
lunch,午餐；午饭,Unit 5,"I have lunch at school."
go home,回家,Unit 5,"I go home at 5:00 p.m."
do,做；干,Unit 5,"I do my homework every evening."
homework,家庭作业,Unit 5,"I finish my homework before dinner."
go to bed,上床睡觉,Unit 5,"I go to bed at 9:30 p.m."
zoo,动物园,Unit 6,"We go to the zoo on Sunday."
animal,动物,Unit 6,"I like all kinds of animals."
panda,熊猫,Unit 6,"Pandas are very cute."
monkey,猴子,Unit 6,"Monkeys like bananas."
tiger,老虎,Unit 6,"Tigers are very dangerous."
lion,狮子,Unit 6,"The lion is the king of the forest."
elephant,大象,Unit 6,"Elephants have long noses."
giraffe,长颈鹿,Unit 6,"Giraffes have long necks."
bird,鸟,Unit 6,"The bird is singing in the tree."
fish,鱼,Unit 6,"There are many fish in the river."
snake,蛇,Unit 6,"Snakes are cold-blooded animals."
zebra,斑马,Unit 6,"Zebras have black and white stripes."
panda,熊猫,Unit 6,"Pandas live in China."
come from,来自,Unit 6,"I come from China."
different,不同的,Unit 6,"We have different hobbies."
country,国家,Unit 6,"China is a big country."
other,其他的；另外的,Unit 6,"I like other kinds of fruits."
all,所有的；全部的,Unit 6,"All students like PE."
over there,在那边,Unit 6,"The monkeys are over there."
food,食物,Unit 7,"I like Chinese food."
drink,饮料；喝,Unit 7,"I want a drink of water."
candy,糖果,Unit 7,"Too much candy is bad for teeth."
fruit,水果,Unit 7,"I eat fruit every day."
vegetable,蔬菜,Unit 7,"Vegetables are good for health."
meat,肉,Unit 7,"I don't eat meat."
rice,米饭,Unit 7,"I have rice for dinner."
noodle,面条,Unit 7,"Noodles are my favorite food."
fish,鱼肉；鱼,Unit 7,"Fish is delicious."
chicken,鸡肉；鸡,Unit 7,"I like chicken soup."
beef,牛肉,Unit 7,"Beef is expensive."
pork,猪肉,Unit 7,"Pork is the most popular meat in China."
breakfast,早餐；早饭,Unit 7,"I have breakfast at 7:00."
lunch,午餐；午饭,Unit 7,"I have lunch at school."
dinner,晚餐；晚饭,Unit 7,"I have dinner with my family."
have breakfast,吃早餐,Unit 7,"I have breakfast every morning."
have lunch,吃午餐,Unit 7,"We have lunch at 12:00."
have dinner,吃晚餐,Unit 7,"They have dinner at 6:00 p.m."
like,喜欢；像,Unit 7,"I like apples."
favorite,最喜欢的,Unit 7,"My favorite food is noodles."
healthy,健康的,Unit 7,"Vegetables are healthy food."
unhealthy,不健康的,Unit 7,"Junk food is unhealthy."
