word,meaning_cn,unit,example
thousand,千,Unit 2,"This tree is thousands of years old."
strange,奇怪的；陌生的,Unit 2,"This is a strange place."
boat,船,Unit 3,"We go to school by boat."
bus,公共汽车,Unit 3,"I take a bus to school."
car,小汽车,Unit 3,"My father drives a car to work."
train,火车,Unit 3,"I go to Beijing by train."
plane,飞机,Unit 3,"I want to fly a plane."
bike,自行车,Unit 3,"I ride a bike to school."
ride,骑；乘坐,Unit 3,"I ride my bike to the park."
subway,地铁,Unit 3,"Take the subway to the city center."
ship,轮船,Unit 3,"We travel by ship."
taxi,出租车,Unit 3,"Take a taxi to the airport."
journey,旅行；旅程,Unit 3,"Have a good journey!"
hour,小时,Unit 3,"It takes me an hour to get to school."
minute,分钟,Unit 3,"Wait a minute, please."
second,秒；第二,Unit 3,"One minute has sixty seconds."
kilometer,千米；公里,Unit 3,"My home is two kilometers from school."
far,远；遥远的,Unit 3,"My school is far from my home."
near,近；附近,Unit 3,"My home is near the school."
close,近的；靠近的,Unit 3,"The shop is close to my home."
by,乘；通过,Unit 3,"I go to school by bike."
walk,步行；散步,Unit 3,"I walk to school every day."
drive,驾驶；开车,Unit 3,"My father drives to work."
fly,飞；飞行,Unit 3,"Birds fly in the sky."
swim,游泳,Unit 3,"I swim in the river in summer."
run,跑；跑步,Unit 3,"I run every morning."
jump,跳；跳跃,Unit 3,"The rabbit can jump high."
climb,爬；攀登,Unit 3,"The monkey climbs the tree quickly."
dance,跳舞；舞蹈,Unit 3,"She can dance well."
sing,唱歌,Unit 3,"He sings very well."
draw,画；绘画,Unit 3,"I draw a picture."
write,写；书写,Unit 3,"I write a letter to my friend."
read,读；阅读,Unit 3,"I read a book every night."
speak,说；讲,Unit 3,"I speak English every day."
listen,听；倾听,Unit 3,"Listen to the teacher carefully."
hear,听见；听到,Unit 3,"I can hear the bird singing."
see,看见；看到,Unit 3,"I see a dog in the street."
watch,观看；注视,Unit 3,"I watch TV in the evening."
like,喜欢；像,Unit 3,"I like playing football."
love,爱；热爱,Unit 3,"I love my parents."
enjoy,享受；喜爱,Unit 3,"I enjoy reading books."
hate,讨厌；憎恨,Unit 3,"I hate rainy days."
want,想要；需要,Unit 3,"I want to go to the park."
need,需要；必需,Unit 3,"I need a pen."
can,能；会,Unit 3,"I can swim."
could,能；会（can的过去式）,Unit 3,"I could swim when I was five."
may,可以；可能,Unit 3,"May I come in?"
might,可能；也许（may的过去式）,Unit 3,"He might come tomorrow."
must,必须；一定,Unit 3,"You must finish your homework."
should,应该；应当,Unit 3,"You should study hard."
will,将；会,Unit 3,"I will go to Beijing tomorrow."
would,将；会（will的过去式）,Unit 3,"I would like a cup of tea."
buy,买；购买,Unit 4,"I buy a book in the bookstore."
call,打电话；称呼,Unit 4,"I call my mother every day."
drive,驾驶；开车,Unit 4,"My father drives to work."
enjoy,享受；喜爱,Unit 4,"I enjoy the music."
lie,躺；平放,Unit 4,"He lies on the bed."
shop,逛商店；购物,Unit 4,"I shop with my mother on Sunday."
take,拿；取；获得,Unit 4,"Take this book to the classroom."
take photos,拍照,Unit 4,"I take photos in the park."
tell,告诉；讲述,Unit 4,"Tell me a story."
wait,等待；等候,Unit 4,"I wait for you at the school gate."
for,为了；给,Unit 4,"This gift is for you."
wait for,等待；等候,Unit 4,"Wait for me here."
at home,在家,Unit 4,"I stay at home on Sunday."
at work,在工作,Unit 4,"My father is at work."
put on,穿上；戴上,Unit 4,"Put on your coat."
take off,脱下；取下,Unit 4,"Take off your shoes."
turn on,打开,Unit 4,"Turn on the light."
turn off,关闭,Unit 4,"Turn off the TV."
up,向上；朝上,Unit 4,"Stand up, please."
down,向下；朝下,Unit 4,"Sit down, please."
left,向左；左边,Unit 4,"Turn left at the corner."
right,向右；右边,Unit 4,"Turn right at the next crossing."
straight,直地；直的,Unit 4,"Go straight ahead."
along,沿着；顺着,Unit 4,"Walk along this street."
across,穿过；横过,Unit 4,"Cross the road carefully."
between,在……之间,Unit 4,"The bank is between the school and the hospital."
opposite,在……对面,Unit 4,"The library is opposite the school."
next to,紧挨着；旁边,Unit 4,"My home is next to the park."
in front of,在……前面,Unit 4,"There is a tree in front of the house."
behind,在……后面,Unit 4,"The cat is behind the door."
above,在……上方,Unit 4,"The picture is above the desk."
below,在……下方,Unit 4,"The ball is below the chair."
on the left of,在……的左边,Unit 4,"The bookstore is on the left of the street."
on the right of,在……的右边,Unit 4,"The hospital is on the right of the street."
in the middle of,在……的中间,Unit 4,"The school is in the middle of the city."
city,城市,Unit 5,"Beijing is a big city."
capital,首都；省会,Unit 5,"Beijing is the capital of China."
country,国家,Unit 5,"China is a great country."
map,地图,Unit 5,"Look at the map of the world."
world,世界,Unit 5,"We live in the world."
population,人口,Unit 5,"The population of China is very large."
million,百万,Unit 5,"The city has a population of two million."
billion,十亿,Unit 5,"The world has a population of seven billion."
big,大的；巨大的,Unit 5,"This is a big apple."
small,小的；小,Unit 5,"This is a small cat."
large,大的；巨大的,Unit 5,"China is a large country."
wide,宽的；宽阔的,Unit 5,"The river is very wide."
long,长的；长久的,Unit 5,"The Great Wall is very long."
high,高的；高度,Unit 5,"The mountain is very high."
old,老的；旧的,Unit 5,"This is an old book."
new,新的；新鲜的,Unit 5,"I have a new bike."
famous,著名的；出名的,Unit 5,"Beijing is famous for the Great Wall."
beautiful,美丽的；漂亮的,Unit 5,"The park is very beautiful."
interesting,有趣的；有意思的,Unit 5,"This book is very interesting."
boring,无聊的；令人厌烦的,Unit 5,"This movie is boring."
exciting,令人兴奋的；使人激动的,Unit 5,"The game is exciting."
delicious,美味的；可口的,Unit 5,"The food is delicious."
hot,热的；炎热的,Unit 5,"It's hot in summer."
cold,冷的；寒冷的,Unit 5,"It's cold in winter."
warm,温暖的；暖和的,Unit 5,"It's warm in spring."
cool,凉爽的；酷的,Unit 5,"It's cool in autumn."
weather,天气,Unit 5,"What's the weather like today?"
spring,春天；春季,Unit 5,"Spring is my favorite season."
summer,夏天；夏季,Unit 5,"I like swimming in summer."
autumn,秋天；秋季,Unit 5,"Autumn is a harvest season."
winter,冬天；冬季,Unit 5,"I make a snowman in winter."
season,季节,Unit 5,"There are four seasons in a year."
year,年；年龄,Unit 5,"I am twelve years old."
month,月；月份,Unit 5,"There are twelve months in a year."
week,星期；周,Unit 5,"There are seven days in a week."
day,天；日,Unit 5,"Today is Monday."
hour,小时,Unit 5,"I study for two hours every day."
minute,分钟,Unit 5,"I wait for you for ten minutes."
second,秒；第二,Unit 5,"One minute has sixty seconds."
happy,高兴的；快乐的,Unit 6,"I am very happy today."
sad,难过的；悲哀的,Unit 6,"I am sad because I failed the exam."
angry,生气的；愤怒的,Unit 6,"My mother is angry with me."
afraid,害怕的；担心的,Unit 6,"I am afraid of dogs."
excited,兴奋的；激动的,Unit 6,"I am excited about the trip."
bored,感到无聊的；厌烦的,Unit 6,"I am bored with this book."
tired,疲倦的；累的,Unit 6,"I am tired after a long walk."
hungry,饥饿的,Unit 6,"I am hungry now."
thirsty,口渴的,Unit 6,"I am thirsty after playing basketball."
full,饱的；满的,Unit 6,"I am full after dinner."
empty,空的；空洞的,Unit 6,"The bottle is empty."
good,好的；优良的,Unit 6,"This is a good idea."
bad,坏的；糟糕的,Unit 6,"This is a bad news."
well,好；健康的,Unit 6,"I am well today."
ill,生病的；不健康的,Unit 6,"He is ill in hospital."
fine,健康的；美好的,Unit 6,"I am fine, thank you."
nice,令人愉快的；宜人的,Unit 6,"It's nice to meet you."
kind,善良的；友好的,Unit 6,"My teacher is very kind."
friendly,友好的；亲切的,Unit 6,"She is friendly to everyone."
polite,有礼貌的；客气的,Unit 6,"You should be polite to your teachers."
rude,粗鲁的；无礼的,Unit 6,"Don't be rude to others."
clever,聪明的；机灵的,Unit 6,"He is a clever boy."
foolish,愚蠢的；傻的,Unit 6,"Don't be foolish."
lazy,懒惰的,Unit 6,"He is a lazy student."
hard-working,勤奋的；努力工作的,Unit 6,"She is a hard-working girl."
helpful,有帮助的；乐于助人的,Unit 6,"He is helpful to his classmates."
useful,有用的；有益的,Unit 6,"This book is very useful."
useless,无用的；无效的,Unit 6,"This tool is useless."
important,重要的；重大的,Unit 6,"English is very important."
unimportant,不重要的；无足轻重的,Unit 6,"This thing is unimportant."
interesting,有趣的；有意思的,Unit 6,"This story is interesting."
boring,无聊的；令人厌烦的,Unit 6,"This class is boring."
exciting,令人兴奋的；使人激动的,Unit 6,"The match is exciting."
delicious,美味的；可口的,Unit 6,"The food is delicious."
terrible,糟糕的；可怕的,Unit 6,"The weather is terrible today."
easy,容易的；简单的,Unit 6,"This question is easy."
difficult,困难的；艰难的,Unit 6,"This problem is difficult."
cheap,便宜的；廉价的,Unit 6,"This shirt is cheap."
expensive,昂贵的；高价的,Unit 6,"This car is expensive."
big,大的；巨大的,Unit 6,"This room is big."
small,小的；小,Unit 6,"This bag is small."
long,长的；长久的,Unit 6,"This river is long."
short,短的；矮的,Unit 6,"This pencil is short."
tall,高的；高大的,Unit 6,"He is tall."
short,矮的；短的,Unit 6,"She is short."
fat,胖的；肥的,Unit 6,"The pig is fat."
thin,瘦的；薄的,Unit 6,"She is thin."
strong,强壮的；坚强的,Unit 6,"He is strong."
weak,虚弱的；无力的,Unit 6,"She is weak after illness."
happy,幸福的；快乐的,Unit 7,"I have a happy family."
sad,悲伤的；难过的,Unit 7,"I am sad because my dog died."
angry,愤怒的；生气的,Unit 7,"My father is angry with me."
afraid,害怕的；担心的,Unit 7,"I am afraid of snakes."
excited,兴奋的；激动的,Unit 7,"I am excited about the party."
bored,感到无聊的；厌烦的,Unit 7,"I am bored with this movie."
tired,疲倦的；累的,Unit 7,"I am tired after work."
hungry,饥饿的,Unit 7,"I am hungry now."
thirsty,口渴的,Unit 7,"I am thirsty after running."
full,饱的；满的,Unit 7,"I am full after lunch."
empty,空的；空洞的,Unit 7,"The cup is empty."
good,好的；优良的,Unit 7,"This is a good book."
bad,坏的；糟糕的,Unit 7,"This is a bad idea."
well,好；健康的,Unit 7,"He speaks English well."
ill,生病的；不健康的,Unit 7,"She is ill today."
fine,健康的；美好的,Unit 7,"I am fine, thank you."
nice,令人愉快的；宜人的,Unit 7,"It's nice to see you."
kind,善良的；友好的,Unit 7,"She is a kind girl."
friendly,友好的；亲切的,Unit 7,"He is friendly to me."
polite,有礼貌的；客气的,Unit 7,"You should be polite to others."
rude,粗鲁的；无礼的,Unit 7,"Don't be rude to your parents."
clever,聪明的；机灵的,Unit 7,"He is a clever student."
foolish,愚蠢的；傻的,Unit 7,"You are foolish to do that."
lazy,懒惰的,Unit 7,"Don't be lazy."
hard-working,勤奋的；努力工作的,Unit 7,"She is hard-working."
helpful,有帮助的；乐于助人的,Unit 7,"He is helpful."
useful,有用的；有益的,Unit 7,"This tool is useful."
useless,无用的；无效的,Unit 7,"This book is useless."
important,重要的；重大的,Unit 7,"This is an important meeting."
unimportant,不重要的；无足轻重的,Unit 7,"This thing is unimportant."
interesting,有趣的；有意思的,Unit 7,"This game is interesting."
boring,无聊的；令人厌烦的,Unit 7,"This class is boring."
exciting,令人兴奋的；使人激动的,Unit 7,"The party is exciting."
delicious,美味的；可口的,Unit 7,"The dinner is delicious."
terrible,糟糕的；可怕的,Unit 7,"The weather is terrible."
easy,容易的；简单的,Unit 7,"This math problem is easy."
difficult,困难的；艰难的,Unit 7,"This English test is difficult."
cheap,便宜的；廉价的,Unit 7,"This pen is cheap."
expensive,昂贵的；高价的,Unit 7,"This dress is expensive."
big,大的；巨大的,Unit 7,"This house is big."
small,小的；小,Unit 7,"This car is small."
long,长的；长久的,Unit 7,"This rope is long."
short,短的；矮的,Unit 7,"This hair is short."
tall,高的；高大的,Unit 7,"He is tall."
short,矮的；短的,Unit 7,"She is short."
fat,胖的；肥的,Unit 7,"The cat is fat."
thin,瘦的；薄的,Unit 7,"The dog is thin."
strong,强壮的；坚强的,Unit 7,"He is strong."
weak,虚弱的；无力的,Unit 7,"She is weak."
